Procedimento	Custo Evitável	Receita Evitável	Custo Não Evitável	Receita Não Evitável	Custo Não Identificado	Receita Não Identificado	Custo Ajustado	Receita	Oportunidade Perdida
SERECTOMIA + QUADRANTECTOMIA 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
SETORECTOMIA  + RECONSTRUÇÃO					 272,97 	 532,20 	 272,97 	 532,20 	 532,20 
SETORECTOMIA + LINFADENECTOMIA	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
SETORECTOMIA + LINFONODO SENTINELA	 136,52 	 496,58 	 136,52 	 496,58 			 273,03 	 993,15 	 1.129,67 
SETORECTOMIA + QUADRANTECTOMIA	 7.272,16 	 22.816,36 	 2.473,67 	 7.375,12 			 9.745,83 	 30.191,48 	 32.665,15 
SETORECTOMIA +NÓDULOS BILATERAIS 	 136,52 	 496,58 					 136,52 	 496,58 	 496,58 
SIMETRIZAÇÃO	 272,97 	 532,20 					 272,97 	 532,20 	 532,20 
TENOSINOVECTOMIA 					 136,52 	 496,58 	 136,52 	 496,58 	 496,58 
TRATAMENTO CIRURGICO DE RETRACAO CICATRICIAL	 524,03 	 1.917,20 					 524,03 	 1.917,20 	 1.917,20 
TRATAMENTO DE HIDRADENITE			 650,42 	 1.443,92 			 650,42 	 1.443,92 	 2.094,34 
TRATAMENTO DOENÇA DE RETINA	 706,82 	 1.237,66 	 1.084,13 	 1.967,86 			 1.790,96 	 3.205,52 	 4.289,66 
TRATAMENTO TUMOR DE NERVO +NEUROMA	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
URETERECTOMIA	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
URETROCISTOGRAFIA 	 211,84 	 686,19 					 211,84 	 686,19 	 686,19 
VARIZE	 74.942,39 	 169.474,85 	 26.408,58 	 62.560,32 	 4.677,96 	 8.919,50 	 106.028,93 	 240.954,66 	 267.363,24 
XANTOMA 	 325,21 	 721,96 					 325,21 	 721,96 	 721,96 
COLECISTE 	 352,20 	 326,45 					 352,20 	 326,45 	 326,45 
	 2.267.132,44 	 4.974.704,53 	 907.384,11 	 2.047.403,34 	 135.365,04 	 272.673,35 	 3.309.881,59 	 7.294.781,22 	 8.202.165,33 
									
